environment,team,relay_count,map_mode,command_mode,stress,seed,mission_success,safe_delivery_success,degraded_outcome,payload_delivery_rate,mean_progress,operational_score,attrition_rate,mean_hazard_exposure,mean_effective_map_delay,packet_loss,completion_step,mean_command_consensus,command_reversal_rate
webots_physics,relay_sparse,1,delayed_hazard,crowd_vector,degraded,740983782,1,0,1,1.0,0.8976783740332209,89.84127715003474,0.08333333333333337,0.10348006560164368,15,0.0888,419,0.9283685719449986,0.0
webots_physics,relay_sparse,1,delayed_hazard,crowd_vector,degraded,757761401,1,1,0,1.0,0.9429944913784664,91.34872069068754,0.0,0.12485395032678237,15,0.0888,512,0.9101733869091119,0.0
webots_physics,relay_sparse,1,delayed_hazard,crowd_vector,degraded,707428544,1,1,0,1.0,0.9101297050448385,89.82451157028483,0.0,0.13746173744213633,15,0.0888,602,0.8938199605190206,0.0
webots_physics,relay_sparse,1,delayed_hazard,crowd_vector,degraded,724206163,1,1,0,1.0,0.9058853176635892,90.61235982005866,0.0,0.12220950520915673,15,0.0888,370,0.8904978589832441,0.0
webots_physics,relay_sparse,1,delayed_hazard,crowd_vector,degraded,808094258,1,1,0,1.0,0.9890957063700042,92.76464533073562,0.0,0.11954831352247669,15,0.0888,507,0.9236346185145158,0.0
webots_physics,relay_sparse,1,delayed_hazard,crowd_vector,degraded,824871877,1,1,0,1.0,0.8257610908440487,88.6846985364895,0.0,0.12228973103601708,15,0.0888,426,0.9022173865984262,0.0
webots_physics,relay_sparse,1,delayed_hazard,crowd_vector,degraded,774539020,1,0,1,1.0,0.8611910375837394,88.77956894973465,0.08333333333333337,0.10666884489614448,15,0.0888,452,0.9321943242304129,0.0
webots_physics,relay_sparse,1,delayed_hazard,crowd_vector,degraded,791316639,1,1,0,1.0,0.9427356737700054,89.03407198882027,0.0,0.16442715739988306,15,0.0888,714,0.9169619055920819,0.0
webots_physics,relay_sparse,1,delayed_hazard,crowd_vector,severe,3233832908,0,0,1,0.0,0.8213626822351782,38.04603770697761,0.08333333333333337,0.26145071074623294,29,0.19536,760,0.8827417432177124,0.0
webots_physics,relay_sparse,1,delayed_hazard,crowd_vector,severe,3250610527,1,1,0,1.0,0.9241243253136336,91.59989943060455,0.0,0.1127843036043882,29,0.19536,425,0.8447113501614738,0.0
webots_physics,relay_sparse,1,delayed_hazard,crowd_vector,severe,3267388146,1,0,1,1.0,0.8795907858135954,86.62223894470826,0.08333333333333337,0.15122182711116608,29,0.19536,753,0.8677089440963957,0.0
webots_physics,relay_sparse,1,delayed_hazard,crowd_vector,severe,3284165765,1,0,1,1.0,0.8963303292547752,88.79304108168418,0.08333333333333337,0.12089520263595005,29,0.19536,445,0.8832108829033428,0.0
webots_physics,relay_sparse,1,delayed_hazard,crowd_vector,severe,3166722432,1,0,1,1.0,0.9109412843099535,91.2337864530538,0.08333333333333337,0.08506521777802999,29,0.19536,400,0.8654629974190309,0.0
webots_physics,relay_sparse,1,delayed_hazard,crowd_vector,severe,3183500051,0,0,1,0.5,0.718545666334992,62.06482128942301,0.0,0.17451899490200198,29,0.19536,760,0.8454781593390701,0.0
webots_physics,relay_sparse,1,delayed_hazard,crowd_vector,severe,3200277670,1,0,1,1.0,0.8221038641969525,85.6627825781817,0.08333333333333337,0.14401788850077418,29,0.19536,380,0.8633494117839208,0.0
webots_physics,relay_sparse,1,delayed_hazard,crowd_vector,severe,3217055289,1,1,0,1.0,0.8061541095031165,88.41644999554664,0.0,0.11882140512905377,29,0.19536,413,0.8844005554537595,0.0
webots_physics,relay_sparse,1,delayed_hazard,consensus_gated,degraded,2823602824,0,0,1,0.5,0.824106090827175,61.226182258411384,0.0,0.23232623865327115,15,0.0888,760,0.9197193635427671,0.0
webots_physics,relay_sparse,1,delayed_hazard,consensus_gated,degraded,2840380443,1,0,1,1.0,0.7989691724821868,88.99886453542459,0.08333333333333337,0.0773096389282499,15,0.0888,412,0.9067156644790718,0.0
webots_physics,relay_sparse,1,delayed_hazard,consensus_gated,degraded,2857158062,1,1,0,1.0,0.7359124741565797,87.68036677917628,0.0,0.1025405588671139,15,0.0888,386,0.9161796357935551,0.0
webots_physics,relay_sparse,1,delayed_hazard,consensus_gated,degraded,2873935681,0,0,1,0.5,0.7598560585147974,59.115494419119855,0.08333333333333337,0.21350373117546206,15,0.0888,760,0.9080959191295679,0.0
webots_physics,relay_sparse,1,delayed_hazard,consensus_gated,degraded,2890713300,0,0,1,0.5,0.7552799040069593,61.27159403520206,0.08333333333333337,0.17465926275939933,15,0.0888,760,0.9292702211154592,0.0
webots_physics,relay_sparse,1,delayed_hazard,consensus_gated,degraded,2907490919,1,1,0,1.0,0.924418784177468,92.21245136685087,0.0,0.10240456205842897,15,0.0888,405,0.9229693070139741,0.0
webots_physics,relay_sparse,1,delayed_hazard,consensus_gated,degraded,2924268538,1,1,0,1.0,0.9776122192648874,92.32362947672273,0.0,0.12238395061087809,15,0.0888,592,0.9244792881634191,0.0
webots_physics,relay_sparse,1,delayed_hazard,consensus_gated,degraded,2941046157,0,0,1,0.5,0.8443903638564924,65.54384704681217,0.0,0.16665465746989097,15,0.0888,760,0.9214856568932015,0.0
webots_physics,relay_sparse,1,delayed_hazard,consensus_gated,severe,2934031026,1,1,0,1.0,0.8763224718289134,88.24408783821613,0.0,0.15064545404019053,29,0.19536,576,0.8720564865946288,0.0
webots_physics,relay_sparse,1,delayed_hazard,consensus_gated,severe,2950808645,1,0,1,1.0,0.9154207113986353,88.79534006641792,0.08333333333333337,0.12871012012255986,29,0.19536,524,0.8456720913008591,0.0024752475247524753
webots_physics,relay_sparse,1,delayed_hazard,consensus_gated,severe,2900475788,0,0,1,0.5,0.9324805328384095,66.69182158934723,0.08333333333333337,0.15464647769327908,29,0.19536,760,0.8744548265174588,0.0
webots_physics,relay_sparse,1,delayed_hazard,consensus_gated,severe,2917253407,1,1,0,1.0,0.9701508934847883,92.60975084178288,0.0,0.11440921031746375,29,0.19536,540,0.8661450352040648,0.0
webots_physics,relay_sparse,1,delayed_hazard,consensus_gated,severe,2866920550,1,1,0,1.0,0.9954332411084342,93.12826301773708,0.0,0.11592231032340565,29,0.19536,506,0.8666364007888019,0.0
webots_physics,relay_sparse,1,delayed_hazard,consensus_gated,severe,2883698169,1,0,1,1.0,0.9324174339318266,87.57176585185562,0.08333333333333337,0.15667861535728378,29,0.19536,693,0.8618546577716849,0.0
webots_physics,relay_sparse,1,delayed_hazard,consensus_gated,severe,2833365312,0,0,1,0.5,0.9562252003871472,64.5571439975051,0.0,0.2295816139163389,29,0.19536,760,0.8492644052919323,0.0
webots_physics,relay_sparse,1,delayed_hazard,consensus_gated,severe,2850142931,1,1,0,1.0,0.8652481160059903,89.06059795713284,0.0,0.13209183132018745,29,0.19536,390,0.8761249481366032,0.0
