variant,stress_base,contrast,metric,delta,ci95_low,ci95_high,expected_direction
severe_robust_04,severe,relay_rich_minus_no_relay,attrition_rate,0.023437499999999993,0.0,0.044270833333333336,positive
severe_robust_05,severe,crowd_minus_auto,safe_delivery_success,0.0625,-0.125,0.28125,positive
severe_robust_05,severe,relay_rich_minus_no_relay,safe_delivery_success,-0.25,-0.4375,-0.0625,negative
severe_robust_05,severe,crowd_minus_auto,operational_score,1.1134044949500463,-1.5483274044377775,3.865674946472468,positive
severe_robust_05,severe,relay_rich_minus_no_relay,operational_score,-1.2799495687095117,-3.987848075087704,1.4211566104107825,negative
severe_robust_05,severe,crowd_minus_auto,degraded_outcome,-0.09375,-0.28203124999999996,0.09375,negative
severe_robust_05,severe,relay_rich_minus_no_relay,degraded_outcome,0.21875,0.03125,0.40625,positive
severe_robust_05,severe,crowd_minus_auto,attrition_rate,-0.026041666666666657,-0.07291666666666666,0.018294270833332984,negative
severe_robust_05,severe,relay_rich_minus_no_relay,attrition_rate,0.05208333333333333,0.010351562499999994,0.09635416666666666,positive
severe_robust_06,severe,crowd_minus_auto,safe_delivery_success,0.09375,-0.125,0.3125,positive
severe_robust_06,severe,relay_rich_minus_no_relay,safe_delivery_success,-0.09375,-0.3125,0.125,negative
severe_robust_06,severe,crowd_minus_auto,operational_score,3.2688843399535017,-0.6661589429761928,6.607069305717125,positive
severe_robust_06,severe,relay_rich_minus_no_relay,operational_score,-3.993144254746923,-7.5697989973431605,-0.558837094741097,negative
severe_robust_06,severe,crowd_minus_auto,degraded_outcome,-0.09375,-0.28125,0.09453124999999574,negative
severe_robust_06,severe,relay_rich_minus_no_relay,degraded_outcome,0.03125,-0.1875,0.25,positive
severe_robust_06,severe,crowd_minus_auto,attrition_rate,-0.0078125,-0.057291666666666664,0.0390625,negative
severe_robust_06,severe,relay_rich_minus_no_relay,attrition_rate,0.039062499999999986,-0.0078125,0.09114583333333333,positive
severe_robust_07,severe,crowd_minus_auto,safe_delivery_success,0.125,-0.0625,0.3125,positive
severe_robust_07,severe,relay_rich_minus_no_relay,safe_delivery_success,-0.1875,-0.375,0.0,negative
severe_robust_07,severe,crowd_minus_auto,operational_score,3.8285823670413777,1.1916226163637251,6.327328439291576,positive
severe_robust_07,severe,relay_rich_minus_no_relay,operational_score,-1.2090316747453898,-3.9245296750051635,1.483556311499119,negative
